id ra dec hi_size line_flux_integral central_freq pa i w20
0 180.19131469726562 -29.741029739379883 4.451970147194366 3.6691039693011382 1120766592.0 268.1051025390625 53.382598876953125 145.95044174895068
1 180.0516357421875 -30.422683715820312 4.398894217147748 3.46306644937297 1114181760.0 280.52130126953125 46.29500961303711 255.65385757367204
2 180.0367431640625 -29.837249755859375 3.7822696294527525 3.698041203815269 1119836160.0 295.4515380859375 87.65090942382812 185.1133452778522
3 179.67872619628906 -29.798370361328125 2.6862588719011273 3.7950949562038105 1121969664.0 28.29168701171875 63.66950607299805 326.8503958971759
4 179.826416015625 -29.689720153808594 2.2918295520647467 3.693589360531739 1115077504.0 324.6319274902344 18.434133529663086 44.200626139411455
5 180.46617126464844 -29.530420303344727 2.3041500169989466 3.7489935646299077 1116259584.0 0.4217681884765625 41.46501922607422 64.4375487713645
6 180.12149047851562 -30.371875762939453 8.337458848635107 4.112848501988644 1125187968.0 278.24859619140625 77.56234741210938 318.91305163274495
7 179.66494750976562 -29.850799560546875 2.291356214688111 3.9717309863365875 1120783360.0 330.8926696777344 71.56605529785156 433.76024782767723
8 180.43362426757812 -30.097240447998047 3.2736149442812046 4.620737950971431 1135167616.0 126.21025085449219 64.84115600585938 116.03986421104076
9 179.66795349121094 -30.44679069519043 2.3916370695188025 4.13604481735199 1123082112.0 79.35012817382812 45.442161560058594 68.37825766046568
10 179.52554321289062 -30.29166030883789 3.1175129756190048 3.9185758482925723 1116383360.0 327.63092041015625 56.703426361083984 108.72401036749542
11 179.9273223876953 -30.195167541503906 4.727462741206519 4.06404204296554 1119258112.0 204.154296875 19.59524917602539 127.01663929400442
12 179.7300567626953 -29.959510803222656 2.791792597919582 4.907697409436818 1138250496.0 119.15882873535156 36.59712600708008 80.00506715810599
13 180.34999084472656 -30.055543899536133 2.611916447131579 5.335634164479293 1145510656.0 120.39933776855469 21.7439022064209 47.639054543395744
14 180.42935180664062 -29.986900329589844 4.063624114885766 4.318348766814518 1123738752.0 245.98672485351562 86.80982208251953 190.38489681549126
15 179.9999542236328 -29.54501724243164 5.209352533836039 5.50682590065247 1147593472.0 202.04603576660156 53.70777893066406 151.63138008678095
16 179.6929168701172 -29.69179916381836 4.437863712070172 4.381994395528353 1122733312.0 168.67747497558594 2.210454225540161 33.93672920432848
17 179.7838592529297 -29.76906967163086 2.41584374736941 4.425709459923476 1122002432.0 179.673583984375 68.60360717773438 435.9762487751131
18 179.90086364746094 -30.00284194946289 9.380255752117826 5.575136075334787 1145224192.0 337.5188903808594 60.04961395263672 290.8530893798847
19 180.0425262451172 -30.01044273376465 2.890633105554849 5.647577878994687 1145574400.0 204.98719787597656 82.60425567626953 176.80141904001252
20 179.7825164794922 -30.285634994506836 4.816856437243689 5.553048766319992 1143570304.0 242.4552001953125 8.62743854522705 77.39785626456303
21 180.19903564453125 -30.090055465698242 8.774207550931395 4.489620226439965 1121802240.0 75.57366180419922 62.8516960144043 299.7106523761221
22 179.52513122558594 -29.550251007080078 2.757666262662932 4.865387070192376 1129997568.0 324.64410400390625 89.05252075195312 178.51375257028974
23 179.5175323486328 -29.956180572509766 8.589593627381014 4.187883825377992 1114258688.0 259.398193359375 58.39140319824219 287.2515505656456
24 179.6135711669922 -30.17439842224121 2.63263974309714 5.683684131243802 1144345088.0 297.9328308105469 78.8011474609375 462.348354359835
25 180.10275268554688 -29.73847007751465 2.746966363628163 4.429425557754221 1118944256.0 172.03147888183594 51.42365646362305 101.36726108930313
26 179.8940887451172 -30.453983306884766 2.9871863288978173 5.67603911791216 1141771264.0 346.1329345703125 43.45457077026367 91.8063061879765
27 180.41465759277344 -30.14289093017578 3.164010211637433 4.821193727690348 1123827584.0 157.1287841796875 54.262935638427734 172.4402298133319
28 179.469482421875 -29.89664077758789 3.5497789088066645 5.41685213416823 1135210240.0 31.671783447265625 66.8799819946289 122.3481760692421
29 180.10592651367188 -30.182056427001953 9.023026174351381 4.737801088154173 1121524096.0 50.1378173828125 73.1800537109375 326.5458207042557
30 179.82733154296875 -29.918180465698242 4.2359788192781656 6.053636460231165 1145596672.0 32.502197265625 77.27220916748047 264.7029732865491
31 179.45587158203125 -30.15220069885254 4.594667083812279 4.585844086196155 1116606208.0 118.5812759399414 10.075794219970703 90.2181268747699
32 179.53775024414062 -29.968820571899414 2.518571321041295 4.768604293732888 1120095744.0 57.018096923828125 77.86589050292969 468.1030404814128
33 179.65162658691406 -29.98320960998535 2.8000824003906066 6.098556007740871 1144749952.0 118.62496185302734 33.84401321411133 60.6048036147295
